date,ticker,price
2024-01-01,AAPL,150.28631895095546
2024-01-02,AAPL,150.50357187979068
2024-01-03,AAPL,151.04337487529904
2024-01-04,AAPL,150.46961933144334
2024-01-05,AAPL,148.66671962870842
2024-01-06,AAPL,148.870189943879
2024-01-07,AAPL,149.83582719066706
2024-01-08,AAPL,151.20339296448847
2024-01-09,AAPL,152.5491971289203
2024-01-10,AAPL,151.18263632726067
2024-01-11,AAPL,151.27679970548928
2024-01-12,AAPL,149.72403679758915
2024-01-13,AAPL,152.43058698101936
2024-01-14,AAPL,152.22143267101825
2024-01-15,AAPL,149.66603675416465
2024-01-16,AAPL,148.53817281573873
2024-01-17,AAPL,147.8779593739944
2024-01-18,AAPL,149.4780955459605
2024-01-19,AAPL,148.99896013618698
2024-01-20,AAPL,150.97640305883715
